book,chapter,verse,text
Wisdom of Solomon,1,3,"But the beings of the righteous are in the hand of Elohim, And no torture shall touch them. 2 In the eyes of the unwise they seemed to die, And their departure is taken for misery, 3 And their going from us to be utter destruction: But they are at peace. 4 For though they are punished in the eyes of men, Yet their expectancy is full of immortality. 5 And having been discipled a little, they shall be rewarded greatly; For Elohim proved them, and found them worthy for Himself. 6 He has tried them as gold in the furnace, And received them as a burnt offering. 7 And in the time of their visitation they shall shine, And run to and fro like sparks among the stubble. 8 They shall judge the nations, and reign over the people, And their Aḏon shall reign forever. 9 Those that put their trust in Him shall understand the truth; And those who are trustworthy in love shall abide with WISDOM OF SOLOMON 1071 Him; For favour and kindness is upon His qodeshim, And he looks after His elect."
Wisdom of Solomon,1,10,"But the wicked shall be punished according to their own schemes, Who have neglected the righteous, and forsaken HWHY."
Wisdom of Solomon,1,11,"For whoever despises wisdom and instruction is miserable, And their expectancy is vain, their labours unfruitful, And their works unprofitable."
Wisdom of Solomon,1,12,"Their wives are foolish, and their children wicked;"
Wisdom of Solomon,1,13,"Their offspring are cursed. Therefore baruḵ is the barren one who is undefiled, Who has not known the sinful bed; She shall bear fruit in the visitation of lives."
Wisdom of Solomon,1,14,"And baruḵ is the eunuch, who has done no evil with his hands, Nor devised wickedness against Elohim; For unto him shall be given the special gift of belief, And an inheritance more desired by his being in the Hĕyḵal of HWHY."
Wisdom of Solomon,1,15,"For the fruit of good labours is esteemed, And the root of wisdom shall never fail."
Wisdom of Solomon,1,16,"As for the children of adulterers, they shall not come to their perfection, And the seed of an unrighteous bed shall be uprooted."
Wisdom of Solomon,1,17,"For though they live long, yet they shall be regarded as naught, And their end shall be without esteem."
Wisdom of Solomon,1,18,"Or, if they die quickly, they have no expectancy, Nor comfort in the day of trial."
Wisdom of Solomon,1,19,For the end of the unrighteous generation is terrible.
Wisdom of Solomon,1,4,"It is better to have no children, and to have virtue, For the remembrance of it is forever; Because it is known with Elohim, and with men. ḤAḴMAH 1072 2 When it is present, men take example from it; And when it is gone, they desire it. It wears a crown, and overcomes forever, Having overcome, striving for undefiled rewards. 3 But the multiplying brood of the wicked shall not thrive, Nor take deep root by illegitimate seed, Nor lay any lasting foundation. 4 For though they flourish as branches for a time; Though standing - not last, they shall be shaken by the wind, And through the force of winds they shall be uprooted. 5 The imperfect branches shall be broken off, Their fruit unprofitable - not ripe to eat, Also of no use. 6 For children brought forth by lawless beds are witnesses of wickedness against their parents in their trial. 7 But though the righteous be prevented by death, Yet he shall be at rest. 8 For esteemed age is not that which stands in length of time, Nor measured by number of years. 9 But wisdom is the grey hair unto men, And an unstained life is old age."
Wisdom of Solomon,1,10,"He pleased Elohim, and was loved by Him; So that living among sinners he was translated."
Wisdom of Solomon,1,11,"Indeed, was he taken away speedily, Lest wickedness should alter his understanding, Or deceit deceive his being."
Wisdom of Solomon,1,12,For the enticement of greed obscures that which is honest; And the wandering of desire undermines the simple minded.
Wisdom of Solomon,1,13,"He, being made perfect in a short time, filled a long time; WISDOM OF SOLOMON 1073"
Wisdom of Solomon,1,14,"For his being pleased HWHY, Therefore He hastened to take him away from among the wicked."
Wisdom of Solomon,1,15,"This the people saw, but did not understand, Neither did they lay up this in their minds: That His favour and kindness is with His qodeshim, And that He shows respect to His chosen."
Wisdom of Solomon,1,16,Thus the righteous who are dead shall condemn the wicked who are living; And youth that is soon perfected; The many years and old age of the unrighteous.
Wisdom of Solomon,1,17,"For they shall see the end of the wise, And shall not understand what Elohim in His counsel has decreed for Him, And to what end HWHY has put Him in safety."
Wisdom of Solomon,1,18,"They shall see Him, and despise Him; But Elohim shall laugh them to scorn. And from then on they shall be an insignificant carcass, And a reproach among the dead forever."
Wisdom of Solomon,1,19,"For He shall tear them, and throw them down headlong, that they shall be speechless; And He shall shake them from the foundation; And they shall be utterly laid waste, and be in sorrow; And their remembrance shall perish."
Wisdom of Solomon,1,20,"And when they draw up the account of their sins, they shall come with fear; And their own wickednesses shall convict them to their face."
Wisdom of Solomon,1,5,"Then the righteous shall stand in great boldness before the face of those who have afflicted Him, and taken no account of His works. 2 When they see it, they shall be troubled with awesome fear, and shall be amazed at the mystery of His salvation, so far beyond all that they looked for. 3 And they, repenting and groaning for anguish of spirit, shall say within themselves, “This was He, ḤAḴMAH 1074 whom we once mocked, and a proverb of reproach. 4 “We fools accounted His ḥai madness, and His end to be without esteem. 5 “How is He numbered among the children of Elohim, and His lot is among the qodeshim? 6 “Therefore we have strayed from the Way of truth, and the light of righteousness has not shined upon us, and the brilliance of righteousness did not rise upon us. 7 “We wearied ourselves in the way of wickedness and destruction; we have also gone through deserts where there was no path; but as for the Way of HWHY, we have not known it. 8 “What has pride profited us, or what good has wealth with our boasting brought us?” 9 All these have passed away like a shadow, And as a rumour that hastened away."
Wisdom of Solomon,1,10,"And as a ship that passes over the waves of the water, Which when it has passed, the trace of it is unable to be found, Neither the pathway of the keel in the waves."
Wisdom of Solomon,1,11,"Or as when a bird has flown through the air, There is no sign of its way to be found, But the air being lightly beaten with the stroke of its wings and parted with the rapid noise and motion of them is passed through; And after passing there is no sign of it to be found."
Wisdom of Solomon,1,12,"Or as when an arrow is shot at a mark, It parts the air, which immediately comes together again, So one cannot know where it went through."
Wisdom of Solomon,1,13,"Even so, we also, as soon as we were born, Began to draw to our end and had no sign of uprightness to show, But were consumed in our wickedness."
Wisdom of Solomon,1,14,"For the expectancy of the unrighteous is like dust that is blown away with the wind; WISDOM OF SOLOMON 1075 Like a thin frost that is driven away with the storm; As the smoke which is dispersed here and there with a storm, And passes like the remembrance of a guest who stays but a day."
Wisdom of Solomon,1,15,"But the righteous live forever; Even so, their reward is with HWHY, And the Most High looks after them."
Wisdom of Solomon,1,16,"Therefore they shall receive an esteemed reign, and a lovely crown from the hand of HWHY: For with His right hand He shall cover them, And with His arm He shall protect them."
Wisdom of Solomon,1,17,"He shall take his ardour as complete armour, And make creation His weapon for the vengeance of His enemies."
Wisdom of Solomon,1,18,"He shall put on righteousness as a breastplate, And true judgment in place of a helmet."
Wisdom of Solomon,1,19,He shall take qodeshah for an invincible shield.
Wisdom of Solomon,1,20,"He shall sharpen His severe wrath as a sword, And the earth shall fight with Him against the foolish."
Wisdom of Solomon,1,21,"Then the thunderbolts aimed true shall go out; And from the clouds, as from a well drawn bow, They shall fly to the mark."
Wisdom of Solomon,1,22,"And hailstones filled with wrath shall be thrown as a stone out of bow, And the water of the sea shall rage against them, And the floods shall cruelly drown them."
Wisdom of Solomon,1,23,"A mighty wind shall also stand up against them, And blow them away like a storm: So wickedness shall lay waste the whole earth, And evil works shall overthrow the thrones of the mighty."
Wisdom of Solomon,1,6,"Hear therefore, O you sovereigns, and understand; Learn, you who are judges to the ends of the earth. 2 Listen, you who rule the people, And boast in the multitude of nations. 3 For power is given to you from HWHY, And rulership from the Most High, ḤAḴMAH 1076 Who shall try your works, and search out your purposes. 4 For being overseers of His reign, you have not ruled rightly, Nor guarded the Law, Nor walked after the counsel of Elohim; 5 He shall come upon you terribly and speedily; For a sharp judgment shall be to those who are in high places. 6 For kindness shall soon pardon the harshest, But great men shall be greatly tortured. 7 For He who is Aḏon over all shall show no partiality, Neither shall he stand in awe of any man’s greatness; For he has made the small and great, And is concerned for all alike. 8 But a severe trial shall come upon the mighty. 9 I speak unto you therefore, O sovereigns, That you may learn wisdom, and not fall away."
Wisdom of Solomon,1,10,For those who guard qodeshah righteously shall be judged qodesh; And those who have learned such matters shall find what to answer.
Wisdom of Solomon,1,11,"Therefore lay your heart upon my words; Desire them, and you shall be instructed."
Wisdom of Solomon,1,12,"Wisdom is esteemed, and never fades away: Also, she is easily seen by those who love her, And found by those who seek her."
Wisdom of Solomon,1,13,"She prevents those who desire her, In making herself first known to them."
Wisdom of Solomon,1,14,Whoever seeks her early shall have no great hardship: For he shall find her sitting at his doors.
Wisdom of Solomon,1,15,Therefore to think upon her is perfection of wisdom; And whoever watches for her shall quickly be without worry.
Wisdom of Solomon,1,16,"For she goes about seeking those who are worthy of her, WISDOM OF SOLOMON 1077 Showing herself favourably to those in the Way, And meets them in every thought."
Wisdom of Solomon,1,17,For the very true beginning of her is the desire of discipline; And the concern of discipline is love;
Wisdom of Solomon,1,18,And love is the keeping of her Laws; and guarding her Laws is the assurance of incorruption;
Wisdom of Solomon,1,19,And incorruption makes us near to Elohim:
Wisdom of Solomon,1,20,Therefore the desire of wisdom leads to a reign.
Wisdom of Solomon,1,21,"If your delight then is in thrones and sceptres, O rulers of the people, esteem wisdom, That you may reign for forever."
Wisdom of Solomon,1,22,"As for wisdom, what she is, and how she came to be, I shall tell you, and shall not hide mysteries from you; But shall seek her out from the beginning of her creation, And bring the knowledge of her into light, And shall not pass over the truth."
Wisdom of Solomon,1,23,Neither shall I go with consuming envy; For such a man shall have no fellowship with wisdom.
Wisdom of Solomon,1,24,But the multitude of the wise is the welfare of the world: And a wise sovereign is the upholding of the people.
Wisdom of Solomon,1,25,"Receive therefore instruction through my words, And it shall do you good."
Wisdom of Solomon,1,7,"I myself am also a mortal man like all, And the offspring of he who was first made from the earth. 2 And was fashioned in my mother’s womb to be flesh in the time of ten months, Being compacted in blood, of the seed of man, And the pleasure that came with sleep. 3 And when I was born, I drew in the common air, And fell upon the earth, which is of like nature, And the first voice which I uttered was crying, as all others do. 4 I was nursed with compassion, and wrapped in garments. ḤAḴMAH 1078 5 For there is no sovereign that had any other beginning of birth. 6 For all men have one entrance into life, And the same going out. 7 Therefore I prayed, and understanding was given to me. I called upon Elohim, and the spirit of wisdom came to me. 8 I preferred her before sceptres and thrones, And deemed wealth naught in comparison to her. 9 Neither did I compare her to any precious stone, Because all gold in respect to her is as a little sand, And silver is counted as clay before her."
Wisdom of Solomon,1,10,"I loved her above health and loveliness, And chose to have her instead of light; For the light that comes from her never goes out."
Wisdom of Solomon,1,11,"All good came to me together with her, And much wealth in her hands."
Wisdom of Solomon,1,12,"And I rejoiced in them all, because wisdom goes before them; And I did not know that she was the mother of them."
Wisdom of Solomon,1,13,"I learned diligently, and speak of her freely. I do not hide her wealth,"
Wisdom of Solomon,1,14,"For she is a treasure unto men that never fails; Which those who use become the friends of Elohim, Being commended for the gifts that come from learning."
Wisdom of Solomon,1,15,"Elohim has granted me to speak as I would, And to conceive what is right for that which has been given to me; Because it is He who leads unto wisdom, and directs the wise."
Wisdom of Solomon,1,16,"For in His hand are both we and our words; All wisdom also, and knowledge of workmanship."
Wisdom of Solomon,1,17,"For He has given me certain knowledge of that which exists, Namely, to know how the world was made, And the operation of the elements. WISDOM OF SOLOMON 1079"
Wisdom of Solomon,1,18,"The beginning, ending, and middle of the times; The alterations of the turning of the sun, And the change of seasons."
Wisdom of Solomon,1,19,"The circuits of years, and the positions of stars."
Wisdom of Solomon,1,20,"The nature of living creatures, and the raging of wild beasts; The violence of winds, and the reasonings of men; The diversities of plants and the power of roots."
Wisdom of Solomon,1,21,"And all that which is either secret or revealed, these I know."
Wisdom of Solomon,1,22,"For wisdom, which is the worker of all matters, taught me; For in her is an understanding spirit: qodesh, unique, manifold, wise, lively, clear, undefiled, clean, strong, loving the good, alive, irresistible, ready to do good,"
Wisdom of Solomon,1,23,"kind to man, steadfast, sure, free from worry, all powerful, overseeing all, and penetrating all spirits most wise, understanding, and pure."
Wisdom of Solomon,1,24,For wisdom is more moving than any motion: She passes and penetrates all because of her purity.
Wisdom of Solomon,1,25,"For she is the breath of the power of Elohim, And a pure force flowing from the esteem of the Almighty; Therefore no uncleanness shall come upon her."
Wisdom of Solomon,1,26,"For she is the brightness of the everlasting Light, The unspotted reflection of the power of Elohim, And an image of His goodness."
Wisdom of Solomon,1,27,"And although one, she does all matters: And remaining in herself, she renews all matters. And entering into qodesh beings of all generations, She makes them friends of Elohim, and neḇi’im."
Wisdom of Solomon,1,28,For Elohim loves none but he who dwells with wisdom.
Wisdom of Solomon,1,29,"For she is more lovely than the sun, And above all the order of stars: Compared with the light, she is found before it."
Wisdom of Solomon,1,30,"For after this comes night, But evil shall not prevail against wisdom. ḤAḴMAH 1080"
Wisdom of Solomon,1,8,"Wisdom reaches from one end to another mightily; And she rightly orders all matters. 2 I loved her, and sought her out from my youth, I desired to make her my bride, and I was a lover of her comeliness. 3 She increases her nobility for she accompanies Elohim; Indeed, the Aḏon of all loved her. 4 For she knows the secrets of the knowledge of Elohim, And is a lover of His works. 5 If wealth is a possession to be desired in this life; What is wealthier than wisdom, the doer of all? 6 And if insight works; Who of all that is a more skilled worker than she? 7 And if a man loves righteousness, her works are good; For she teaches self-control and insight, righteousness and endurance; Of which there is naught more profitable than men may have in their life. 8 If a man desires much experience, she knows the ways of old, And concludes rightly what is to come: She knows the wisdom of words, and expounds hidden riddles. She foresees signs and wonders, and the events of seasons and times. 9 Therefore I purposed to take her to me to live with me, Knowing that she would be a counsellor of good, And a comfort in worries and grief."
Wisdom of Solomon,1,10,"Because of her I have esteem among the multitude, And esteem with the elders, although I am young."
Wisdom of Solomon,1,11,"I shall be found alert in judgment, And shall be admired in the sight of great men."
Wisdom of Solomon,1,12,"When I hold my tongue, they shall await me, And when I speak, they shall give good ear to me; WISDOM OF SOLOMON 1081 If I talk much, they shall lay their hands upon their mouth."
Wisdom of Solomon,1,13,"And by the means of her I shall obtain immortality, And leave an everlasting remembrance behind me to those that come after me."
Wisdom of Solomon,1,14,"I shall put the people in order, And the nations shall be subject to me."
Wisdom of Solomon,1,15,"Horrible tyrants shall be afraid, when they hear of me; I shall be found good among the multitude, And courageous in battle."
Wisdom of Solomon,1,16,"After I have come into my house, I shall find rest with her: For her ways are not bitter; And to live with her has no sorrow, but gladness and joy."
Wisdom of Solomon,1,17,"Now when I thought on these matters within myself, And considered them in my heart, That to be allied with wisdom is immortality;"
Wisdom of Solomon,1,18,"And it is great pleasure to have her friendship; And in the works of her hands are wealth without limit; And walking in her company, insight; And in talking with her, a good report; I went about seeking how to take her to me."
Wisdom of Solomon,1,19,"For I was a lively child, and had a good spirit."
Wisdom of Solomon,1,20,"Indeed, being good, I came into a body undefiled."
Wisdom of Solomon,1,21,"Nevertheless, when I perceived that I could not otherwise obtain her, except Elohim gave her me; And that was a point of wisdom also to know whose gift she was; I prayed to HWHY, and pleaded with Him, And with my whole heart I said,"
Wisdom of Solomon,1,9,"“O Elohim of my fathers, and Aḏon of kindness, who has made all by Your Word, 2 and ordained man through Your wisdom, That he should reign over the creatures which You have made. ḤAḴMAH 1082 3 “And order the world according to straightness and righteousness, And execute right-ruling with an upright heart: 4 “Give me wisdom, that sits by Your throne; And do not reject me from among your children. 5 “For I, Your servant and son of Your female servant am a weak man, and short-lived, And too young for the understanding of Right- Ruling and Laws. 6 “For though a man be ever so perfect among the children of men, Yet if Your wisdom is not with him, he shall be regarded as naught. 7 “You have chosen me to be a sovereign of Your people, And a judge of Your sons and daughters. 8 “You have commanded me to build a Hĕyḵal upon Your qodesh mountain, And an altar in the city in which You dwell, A resemblance of the qodesh Mishkan, which You have prepared from the beginning. 9 “And wisdom was with You; who knows Your works, And was present when You made the world, And knew what was acceptable in Your sight, And right by Your Commands."
Wisdom of Solomon,1,10,"“O send her out of Your qodesh shamayim, And from the throne of Your esteem, That being present she may labour with me, That I may know what is pleasing to You."
Wisdom of Solomon,1,11,"“For she knows and understands all matters, And she shall lead me sensibly in my doings, And preserve me in her power."
Wisdom of Solomon,1,12,"“So shall my works be acceptable, And then shall I judge Your people righteously, And be worthy to sit in my father’s seat.”"
Wisdom of Solomon,1,13,For what man is he who knows the counsel of Elohim? Or who knows the desire of HWHY? WISDOM OF SOLOMON 1083
Wisdom of Solomon,1,14,"“For the thoughts of mortal men are wretched, And our plans are of uncertainty."
Wisdom of Solomon,1,15,"For the corruptible body presses down the being, And this earthly tent weighs down the mind that thinks upon many matters."
Wisdom of Solomon,1,16,"And we could hardly guess rightly at that which is on earth, And with labour we find that which is before us; But that which is in the shamayim who has searched out?"
Wisdom of Solomon,1,17,"And Your counsel who has known, except You give wisdom, And send Your Ruaḥ ha’Qodesh from above?"
Wisdom of Solomon,1,18,"For so the ways of those who lived on the earth were instructed, And men were taught that which is pleasing to You, And were saved through wisdom."
Wisdom of Solomon,1,10,"She preserved the first formed father of the world, Who was created alone, and brought him out from his fall, 2 And gave him power to rule all creatures. 3 But when the unrighteous went away from her in his wrath, He also perished in the fury with which he murdered his brother. 4 For whose cause the earth being drowned with the flood, Wisdom again preserved it, And directed the course of the righteous within a piece of wood of little value. 5 And the nations being confounded in their wicked conspiracy, She found out the righteous, And preserved him blameless before Elohim, And kept him strong despite his tender compassion toward his son. 6 When the wicked perished, she delivered the righteous man, ḤAḴMAH 1084 Who fled from the fire which fell down upon the five cities. 7 Of whose wickedness the smoking wasteland is a witness even to this day, And plants bearing fruit that never come to ripeness; And a standing pillar of salt is a monument of an unbelieving being. 8 For not regarding wisdom, they not only received this evil; That they did not know that which was good; But also left behind them a remembrance to the world of their foolishness; So that the matters in which they sinned could not so much as be hidden. 9 But wisdom delivered those who attended to her from pain."
Wisdom of Solomon,1,10,"When the righteous fled from his brother’s wrath she guided him in right paths, Showed him the reign of Elohim, and gave him knowledge of qodesh matters, Made him wealthy in his travels, and multiplied the fruit of his labours."
Wisdom of Solomon,1,11,"In the covetousness of those who oppressed him she stood by him, and made him wealthy."
Wisdom of Solomon,1,12,"She defended him from his enemies, and kept him safe from those that lay in wait, And in heavy conflict she gave him the deliverance; That he might know that good is stronger than all."
Wisdom of Solomon,1,13,"When the righteous was sold, she did not forsake him, But delivered him from sin: She went down with him into the pit,"
Wisdom of Solomon,1,14,"And did not leave him in chains, till she brought him the sceptre of the reign, And power against those who oppressed him: As for those who had accused him, she showed them to be liars, And gave him everlasting esteem. WISDOM OF SOLOMON 1085"
Wisdom of Solomon,1,15,She delivered the righteous people and blameless seed from the nation that oppressed them.
Wisdom of Solomon,1,16,"She entered into the being of the servant of HWHY, And withstood awesome sovereigns with wonders and signs;"
Wisdom of Solomon,1,17,"Rendered to the righteous a reward for their labours, Guided them in a marvellous way, and was a cover unto them by day, And a light by stars in the night time;"
Wisdom of Solomon,1,18,"Brought them through the Sea of Reeds, And led them through deep waters."
Wisdom of Solomon,1,19,"But she drowned their enemies, and threw them up from the depth of the sea."
Wisdom of Solomon,1,20,"Therefore the righteous plundered the wicked, And praised Your qodesh Name, O HWHY, And with one accord exalted Your hand, that fought for them."
Wisdom of Solomon,1,21,"For wisdom opened the mouth of the dumb, And taught the tongues of those who could not speak."
Wisdom of Solomon,1,11,"She prospered their works in the hand of the qodesh naḇi. 2 They went through the wilderness that was uninhabited, And pitched tents in places where there lay no way. 3 They stood against their enemies, And were avenged of their adversaries. 4 When they were thirsty, they called upon You, And water was given them out of the flinty rock, And their thirst was quenched out of the solid rock. 5 For in what matters their enemies were punished, By the same they in their need were benefited. 6 For instead of a constant running river troubled with foul blood, 7 For a visible reproof of that command, whereby the infants were slain, You gave to them abundance of water by means of which they had no expectancy; ḤAḴMAH 1086 8 Revealing by that thirst at that time how you had punished their adversaries. 9 For when they were tried although chastised in kindness, They knew how the wicked were judged in wrath and tortured, Thirsting in a different manner than the righteous."
Wisdom of Solomon,1,10,"For these You admonish and try, as a Father, But the other, as a severe Sovereign, You condemn and punish."
Wisdom of Solomon,1,11,"Whether they were absent or present, They were punished alike."
Wisdom of Solomon,1,12,"For a double grief came upon them, And a groaning for the remembrance of what was past."
Wisdom of Solomon,1,13,"For when they heard through their own punishments the other had benefited, They sensed that it was from HWHY."
Wisdom of Solomon,1,14,"For whom they treated with scorn, When he was sent out long before the throwing out of the infants, In the end, when they saw what came to be, they admired him."
Wisdom of Solomon,1,15,"But for the foolish schemes of their wickedness, Being deceived, they worshipped serpents empty of reason, and vile beasts, You sent a multitude of beastly creatures upon them for vengeance;"
Wisdom of Solomon,1,16,"That they might know, that in all the ways a man sins, By the same he shall also be punished."
Wisdom of Solomon,1,17,"For Your Almighty hand, that made the world of formless matter, Did not lack the means to send a multitude of bears or fierce lions among them,"
Wisdom of Solomon,1,18,"Or newly created, unknown wild beasts full of rage, Breathing out either fiery breath, or a filthy stench of WISDOM OF SOLOMON 1087 billowing smoke, Or shooting scorching sparks out of their eyes;"
Wisdom of Solomon,1,19,"From which not only the damage might kill them at once, But also the terrible sight utterly destroy them."
Wisdom of Solomon,1,20,"And even without all these they might have collapsed with one blast, Being punished by vengeance, and scattered abroad through the breath of Your power; But You have ordered all in measure and number and weight."
Wisdom of Solomon,1,21,For You show Your great power at all times when you desire; And who withstands the strength of Your arm?
Wisdom of Solomon,1,22,"For the whole world is like a small grain in the balance before You, Even as a drop of the morning dew that falls down upon the earth."
Wisdom of Solomon,1,23,"But You show favour upon all; For You do all, And overlook the sins of men, that they should repent."
Wisdom of Solomon,1,24,"For You love all that exist, and loathe none whom You have made; For You would never have made any matter, if You had hated it."
Wisdom of Solomon,1,25,"And how could any matter have endured, if it had not been Your desire? Or been preserved, if not called by You?"
Wisdom of Solomon,1,26,"But You spare all: for they are Yours, O HWHY, You lover of the living."
Wisdom of Solomon,1,12,"For Your incorruptible Ruaḥ is in all. 2 Therefore little by little You discipline those who offend, And warn them by keeping them in remembrance of that in which they have sinned, So that turning from their wickedness they believe on You, O HWHY. ḤAḴMAH 1088 3 By the hands of our fathers You determined to destroy both those old inhabitants of Your qodesh land, 4 Whom You hated for doing most abominable works of witchcraft and wicked slaughterings; 5 And also those cruel murderers of children, And devourers of the flesh of man, and the feasts of blood, 6 With their priests from among their idolatrous group, And the parents, that killed helpless lives with their own hands; 7 So that the land, which You esteemed above all other, Might receive a worthy assembly of children of Elohim. 8 Nevertheless even those You spared, being but men, And sent hornets - forerunners of your host - to destroy them little by little. 9 Not that You were unable to bring the wicked under the hand of the righteous in battle, Or to destroy them at once with cruel beasts, or with one stern word;"
Wisdom of Solomon,1,10,"But executing Your judgments upon them little by little, You gave them place for repentance, not being ignorant that they were a wicked generation, And that their evil was inherited, and that their minds could never be changed."
Wisdom of Solomon,1,11,For it was a cursed seed from the beginning; Neither for fear of any man did You pardon them for those matters in which they sinned.
Wisdom of Solomon,1,12,"For who shall say, “What have You done?” Or who shall withstand Your judgment? Or who shall accuse You for the nations that perish, whom You made? Or who shall come to stand against You, to be avenged for the unrighteous? WISDOM OF SOLOMON 1089"
Wisdom of Solomon,1,13,"For neither is there any Elohim but You that looks after all, To whom You might show that Your judgment is not unrighteous."
Wisdom of Solomon,1,14,Neither shall sovereign or ruler be able to turn his face against you for any whom You have punished.
Wisdom of Solomon,1,15,"Even as You Yourself are righteous, You order all righteously; Determining it not agreeable within Your power to condemn he who does not deserve to be punished."
Wisdom of Solomon,1,16,"For Your power is the beginning of righteousness, And because You are Aḏon of all, it causes You to show favour to all."
Wisdom of Solomon,1,17,"For when men shall not believe that You are all powerful, You show Your strength, And among those who know it You make their boldness manifest."
Wisdom of Solomon,1,18,"But You, mastering Your power, rightly rule with straightness, And command us with great favour; For You determine when You use Your power."
Wisdom of Solomon,1,19,"But by such works You have taught Your people that the righteous man should be kind, And have prepared Your children with good expectancy that You allow repentance for sins."
Wisdom of Solomon,1,20,"For if You punished the enemies of Your children, And those condemned to death, with such deliberation, giving them time and place, Whereby they might be delivered from their evil;"
Wisdom of Solomon,1,21,"With what great discernment You rightly ruled Your own children, Unto whose fathers You have sworn, And made Covenants of good promises?"
Wisdom of Solomon,1,22,"Therefore, whereas You discipline us, You scourge our enemies one thousand times more, To the intent that, when we judge, we should carefully ḤAḴMAH 1090 think of Your goodness, And when we ourselves are judged, we should look for kindness."
Wisdom of Solomon,1,23,"Wherefore, whereas men have lived corruptly and unrighteously, You have punished them with their own abominations."
